Country or Area,City,Year,City Type,Record Type,Population
United States of America,Miami (FL),2009,City proper,Estimate - de jure,433136
United States of America,Miami (FL),2010,City proper,Census - de jure - complete tabulation,399457
United States of America,Miami (FL),2012,City proper,Estimate - de jure,413892
United States of America,New York (NY),2009,City proper,Estimate - de jure,8391881
United States of America,New York (NY),2010,City proper,Census - de jure - complete tabulation,8175133
United States of America,New York (NY),2012,City proper,Estimate - de jure,8336697
United States of America,Los Angeles (CA),2008,City proper,Estimate - de jure,3833995
United States of America,Los Angeles (CA),2009,City proper,Estimate - de jure,3831868
United States of America,Los Angeles (CA),2012,City proper,Estimate - de jure,3857799
