"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Central Europe and the Baltics","CEB","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","2088.95393208505","2243.53733769121","2389.98886841707","2522.68155194247","2683.047694575","2848.02763022704","2984.65929182478","3124.94603249235","3161.26829932159","3306.05950777627","3276.89373435707","3318.64759461844","3435.79267760505","3562.33160568441","3645.79319651518","3761.36098977508","3867.97845664963","3934.07845614066","3948.02517487546","3743.96274855128","3475.2239869918","3220.43499662145","3146.8968239802","3172.28107690295","3297.92006085965","3427.98816649004","3382.28638528916","3337.9665746413","3280.65857367397","3343.03080981428","3425.90416040717","3449.18182849735","3582.11393388411","3669.76879476591","3732.16452912659","3880.20413715862","3979.83855309494","4043.95892399766","3835.98197757143","4012.91129638571","4097.60443384176","4094.20020247593","","","",
"Switzerland","CHE","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","3075.55031347677","3225.99402976725","3278.00617709773","3351.45279086067","3454.51932451097","3586.28881005493","3653.4289782261","3749.63387371209","3852.1921105708","4022.72542458616","4306.5086071119","4615.34821761809","4776.26739430847","5010.18891143931","5027.11938442664","4878.81296784543","5082.9003837205","5324.95995175424","5520.44672986998","5779.13737128368","5992.33345908351","6119.69580461291","6189.34243360789","6330.49338245799","6601.03867435906","6854.32738338564","6994.48534499035","7163.21477452008","7203.88583347009","7369.28667026132","7445.44092571252","7538.40674190416","7430.29750861191","7235.09407611269","7155.48568409569","7283.23812718844","7393.53917291798","7341.75343840079","7481.2928999588","7646.84613964379","7845.49535442113","7992.27757572975","8031.4322256362","8195.1208345659","8205.69379366341","8305.37110156291","8360.44251592812","8163.29557600551","8305.92304197027","8021.09446861637","8174.53595945972","7928.31705381858","7886.09430625342","","","",
"Channel Islands","CHI","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","776.978762888439","802.697871580038","771.260953169491","814.133569392088","743.240066061519","781.256126445392","806.880266450084","847.917486599851","891.040973250885","917.632900553126","933.731877641389","900.758786201388","919.259717441331","979.582359699656","1000.28277478706","1039.96983794887","1065.84151829688","1133.09408526303","1220.94682202277","1250.19005110796","1327.8364757249","1473.50817892492","1533.02102466159","1608.95064404852","1768.35456932253","1952.13677113536","2096.60499093125","2204.80506314015","2422.08462690525","2527.62174096152","2655.67716674986","2752.41090866936","2919.97059240138","3084.0591338505","3112.21563897056","3237.21624833044","3353.15571849358","3350.7870387614","3307.55449939652","3316.18224056729","3590.30899109108","3810.11818371024","","","",
"China","CHN","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","151.202287467082","162.456063014048","173.791867927523","172.279669017604","196.377108124772","200.559802725949","217.591724035593","246.555772277797","267.374265354668","281.624687256366","285.817775698396","299.197921933712","317.020257790894","336.411641308803","362.812071852641","391.351624968363","426.554493166734","461.797518222997","487.373173021052","510.563476437761","548.898138653783","604.596684893173","662.537761786769","727.009191708584","770.183134070075","820.985585807564","852.646383350609","870.523819684605","913.870850578933","993.338586855371","1077.04682155915","1195.44751640112","1380.20102452654","1586.77699978782","1783.8707697972","2041.96732315296","2330.26250393623","2457.54479468239","2632.68707840692","2943.6123809061","3298.0240006547","3475.00879177016","","","",
"Cote d'Ivoire","CIV","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","94.2125091615743","101.085090157983","111.103637772248","113.666340305292","122.305735578935","135.477022258427","144.249681275908","156.944434536336","193.114848990002","177.725641696637","183.79624065997","181.618235137297","173.393359194202","128.670947850392","147.567939580429","148.177670620473","166.819211028313","171.207472231489","157.432741139874","157.24266883798","145.623744590395","150.30382296739","141.780970475187","144.190330089075","173.83649650036","159.572394460535","170.170870381835","185.33257055576","174.682782511446","173.3266141775","182.089032583679","177.126879812837","175.456259166217","175.031439376322","173.77443251425","184.351819435615","190.16897947914","199.15223241294","204.318953163563","219.305794585626","200.978714407936","239.733026780866","","","",
"Cameroon","CMR","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","146.643033009649","149.697787079848","147.245981576648","163.22022751492","168.341990306189","159.809033230731","149.367843045296","150.135769022113","149.533080937172","150.692092057418","191.606567268903","213.80417646998","206.743629200184","198.296477362873","217.029065711546","202.495772071432","201.96681960728","204.302507019546","205.087063853938","194.277568711917","187.766822567834","184.421984382115","186.573114335832","163.359335247829","156.28617527814","161.623882785387","171.040562242143","168.049651093448","172.808880404072","170.708751469844","160.923690976603","151.137398317488","163.079545823465","187.914856005148","182.37988538533","240.736342406769","249.133823598786","262.794591306123","261.176829017398","258.320930464318","259.528534999064","262.333070846365","","","",
"Congo, Rep.","COG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","55.9516171107312","57.0701857599318","62.1562622092658","62.9189074628447","65.5355993230558","67.9785911093981","69.6491017688449","71.185640973749","74.863174690075","82.1451882900924","68.9881539794038","103.098178773289","98.0892418972187","147.137242509826","111.343182725681","173.626588018179","177.103191217861","165.746149385457","167.822056982043","171.802082325044","182.847813887047","175.752025820438","159.221727296183","143.398174465766","150.6645593227","153.796465757217","128.75664923696","110.734433430827","69.5917405487985","96.1640822971573","105.845597969523","117.290635448116","117.362295906667","108.421985399954","121.321600440298","130.666551998213","133.219760123693","150.543823254768","151.868514265263","147.562343860595","173.551473571701","181.746577611621","","","",
"Colombia","COL","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","403.635452132736","389.470632294231","420.832452463103","459.269245541829","441.65341888177","456.178653966535","498.241197378557","551.690631243356","589.374079564025","618.03514000066","614.603998908232","638.333246403248","642.299266994656","696.176043280542","729.370212248376","781.281082470418","757.695612895378","776.484795560393","821.93185540447","841.864142583751","842.288676759047","753.824319084034","846.190251351216","883.972613278697","895.385340198355","887.801637045245","895.863205898532","874.444318901595","810.687707328905","829.398921031476","850.425172331374","858.62062686498","862.518343371691","898.344231812462","895.816801675272","947.126618861539","974.385215954507","974.217879695316","1049.97600419726","1077.98447501128","1121.39593710753","1149.95369767781","","","",
"Comoros","COM","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
