WKT
"LINESTRING (-16.5240428342476 15.7230180309079, -16.45979485215119 15.7204712822643)"
"LINESTRING (-16.45979485215119 15.7204712822643, -16.39475446682649 15.6990162260261)"
"LINESTRING (-16.39475446682649 15.6990162260261, -16.36668175282426 15.67694993024816)"
